Pair=USDJPY;Period=H1;Days=720;Shift=1;Bars=17280;Time=20171231_233725
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime
69;113.301;113.34;113.265;113.309;54.18680472964069;53.02685773650661;113.3618689444298;113.3044594722148;113.2470499999999;113.1896405277849;113.1322310555699;0.007999999999995566;0.07500000000000284;2017.12.27 03:00;2017.12.27 10:00
70;113.21;113.363;113.189;113.301;53.53571223065843;50.79041296012937;113.3590269445505;113.3025384722752;113.2460499999999;113.1895615277245;113.1330730554492;0.09100000000000819;0.1740000000000066;2017.12.27 02:00;2017.12.27 09:00
71;113.19;113.225;113.182;113.209;44.99542754297173;45.02154570012227;113.3583106217206;113.3020553108602;113.2457999999998;113.1895446891395;113.133289378279;0.01900000000000546;0.04299999999999216;2017.12.27 01:00;2017.12.27 08:00
72;113.195;113.224;113.157;113.191;43.049814404381;40.60428843620729;113.3620160130941;113.305808006547;113.2495999999998;113.1933919934527;113.1371839869056;-0.003999999999990678;0.06700000000000728;2017.12.27 00:00;2017.12.27 07:00
73;113.172;113.242;113.165;113.23;46.43026477701405;38.54210735558384;113.3676739041881;113.311636952094;113.2555999999999;113.1995630479057;113.1435260958116;0.05800000000000693;0.07699999999999818;2017.12.26 23:00;2017.12.27 06:00
74;113.177;113.181;113.142;113.172;39.74561028354086;30.54157721472922;113.3756865076633;113.3180182538316;113.2603499999999;113.2026817461681;113.1450134923364;-0.005000000000009663;0.03900000000000148;2017.12.26 22:00;2017.12.27 05:00
75;113.135;113.185;113.119;113.174;39.90874754631643;34.43991301997261;113.3824689384808;113.3257344692403;113.2689999999998;113.2122655307594;113.1555310615189;0.03900000000000148;0.0660000000000025;2017.12.26 21:00;2017.12.27 04:00
76;113.186;113.201;113.127;113.135;34.96360668629536;36.50187119861667;113.3816176059991;113.3286838029994;113.2757499999999;113.2228161970003;113.1698823940007;-0.05100000000000193;0.07399999999999807;2017.12.26 20:00;2017.12.27 03:00
77;113.194;113.205;113.168;113.185;38.85836922378472;38.1197882193437;113.368122382644;113.3260361913219;113.2839499999998;113.2418638086777;113.1997776173557;-0.009000000000000341;0.03699999999999193;2017.12.26 19:00;2017.12.27 02:00
78;113.221;113.236;113.192;113.195;39.69859004862518;38.69312514658446;113.3622567940656;113.3240783970327;113.2858999999999;113.247721602967;113.2095432059341;-0.02600000000001046;0.04400000000001114;2017.12.26 18:00;2017.12.27 01:00
